"full_name","diameter","epoch_mjd","e","a","i","om","w","ma","n","moid"
"       (2009 BE81)",,60200,0.3494,1.523,18.80,118.01,333.48,294.53,0.5246,0.0313
"       (2009 CS)",,60200,0.5953,2.007,3.21,250.02,170.86,69.58,0.3466,0.0412
"       (2009 CC3)",,60200,0.5367,2.205,11.36,194.89,15.59,152.33,0.301,0.0296
"       (2009 DR3)",,60200,0.5607,1.976,4.08,344.68,237.50,67.27,0.3547,0.00921
"       (2009 DS10)",,60200,0.5864,2.207,7.50,313.08,123.37,173.96,0.3006,0.0396
"       (2009 DZ42)",,60200,0.5829,2.447,13.10,295.13,183.43,293.71,0.2575,0.0362
"       (2009 DM45)",,60200,0.3673,1.172,26.69,336.33,90.88,213.66,0.7765,0.00784
"       (2009 DL46)",,60200,0.3075,1.461,7.92,63.37,160.31,58.72,0.5581,0.011
"       (2009 EP2)",,60200,0.3562,0.9269,27.70,175.17,129.84,353.74,1.104,0.0405
"       (2009 FE)",,60200,0.6122,2.532,1.90,39.76,201.01,199.21,0.2446,0.00022
"       (2009 FF)",,60200,0.4680,1.474,0.98,265.82,11.09,345.66,0.5508,0.015
"       (2009 FU4)",,60200,0.6159,2.381,12.91,42.10,233.13,305.48,0.2683,0.0371
"       (2009 FY4)",0.129,60200,0.3275,1.013,20.98,162.62,244.66,181.23,0.9673,0.0422
"       (2009 FU23)",,60200,0.2823,0.8372,13.90,57.75,315.29,126.16,1.287,0.0341
"       (2009 HV2)",,60200,0.4990,1.641,6.73,37.97,261.04,268.27,0.4688,0.0333
"       (2009 HA21)",,60200,0.7291,1.461,6.41,205.41,219.89,116.37,0.5583,0.0462
"       (2009 HD21)",,60200,0.6880,2.771,18.65,179.21,134.31,17.80,0.2137,0.0121
"       (2009 HV58)",,60200,0.5838,1.985,46.97,69.69,50.92,87.98,0.3526,0.0279
"       (2009 JR)",,60200,0.4898,1.73,8.41,225.36,295.25,132.44,0.4333,0.0308
"       (2009 KD3)",,54977,0.6760,2.17,7.93,39.30,116.23,17.88,0.3083,0.028
"       (2009 KE3)",,60200,0.7029,2.669,5.86,13.75,319.95,90.81,0.226,0.0328
"       (2009 KK8)",,60200,0.5942,2.402,2.27,120.50,194.11,291.94,0.2647,0.00892
"       (2009 LQ)",,60200,0.5905,1.536,5.34,114.49,244.14,141.82,0.5176,0.0418
"       (2009 LW2)",,60200,0.2594,1.206,33.15,101.10,41.11,23.81,0.7445,0.0424
"       (2009 OF)",,60200,0.5990,2.353,9.37,126.87,218.07,318.08,0.2731,0.00563
"       (2009 QJ9)",,60200,0.6210,2.717,19.28,157.77,202.22,37.64,0.2201,0.0469
"       (2009 RV1)",,60200,0.6376,2.697,1.89,2.01,56.41,46.03,0.2226,0.0208
"       (2009 RZ3)",,60200,0.6745,2.211,52.65,344.71,114.18,61.87,0.2997,0.0423
"       (2009 SB)",,60200,0.8004,2.213,5.45,215.08,271.80,63.19,0.2993,0.021
"       (2009 SN)",,55092,0.3219,1.428,26.47,344.66,37.75,345.72,0.5776,0.0119
"       (2009 SW17)",,60200,0.5982,2.013,8.40,42.44,42.17,299.03,0.3452,0.0421
"       (2009 SG18)",,60200,0.6738,3.04,57.85,177.42,204.59,220.38,0.1859,0.0247
"       (2009 TK12)",,60200,0.5842,1.696,3.84,245.51,245.55,70.79,0.4464,0.0134
"       (2009 UQ)",,60200,0.5344,1.785,14.51,8.71,306.04,319.31,0.4132,0.0179
"       (2009 UY17)",,60200,0.3163,0.8185,42.06,202.07,30.56,48.16,1.331,0.0142
"       (2009 VW)",,60200,0.5625,1.44,7.16,54.39,256.13,38.14,0.5701,0.0275
"       (2009 VZ)",,60200,0.3252,1.413,12.31,233.65,221.49,65.58,0.5871,0.021
"       (2009 VA26)",,60200,0.3836,1.513,38.96,230.70,307.49,71.32,0.5297,0.0327
"       (2009 VQ44)",,55155,0.7265,1.345,29.80,46.78,237.92,35.91,0.6322,0.0187
"       (2009 WJ1)",,60200,0.6782,2.455,0.62,276.54,195.15,193.91,0.2562,0.00761
"       (2009 XV)",,60200,0.6877,2.567,3.34,44.50,327.15,133.72,0.2396,0.0237
"       (2009 XT6)",,60200,0.7679,2.18,5.74,264.93,81.99,113.43,0.3063,0.00195
"       (2010 AF30)",,60200,0.3719,1.325,3.06,62.42,162.83,272.59,0.6463,0.0433
"       (2010 BV132)",,60200,0.1797,1.228,17.27,255.01,186.51,50.07,0.7243,0.0223
"       (2010 CN44)",0.340,60200,0.6713,2.865,3.86,188.76,304.00,292.64,0.2032,0.0289
"       (2010 DO)",0.149,60200,0.7457,1.612,11.94,154.43,116.81,199.32,0.4814,0.0171
"       (2010 DG77)",0.315,55246,0.9139,11.09,20.56,289.10,197.03,0.62,0.02669,0.00797
"       (2010 EF44)",,60200,0.8884,2.187,38.04,173.74,235.08,77.29,0.3048,0.0227
"       (2010 EK44)",,60200,0.7722,2.836,11.26,180.67,107.73,276.65,0.2064,0.0229
"       (2010 FQ)",0.285,60200,0.3562,1.527,10.55,140.43,359.54,67.37,0.5223,0.00497
"       (2010 FF10)",0.095,60200,0.6316,2.379,5.08,166.09,105.35,221.48,0.2686,0.0375
"       (2010 FC81)",0.402,60200,0.6233,2.678,1.68,144.30,63.65,20.51,0.2249,0.026
"       (2010 GS7)",0.203,60200,0.6595,2.692,9.13,190.85,56.97,359.89,0.2231,0.0444
"       (2010 GU21)",0.510,60200,0.5628,2.181,3.19,57.19,201.02,45.65,0.306,0.0107
"       (2010 JG)",0.192,60200,0.3197,1.19,23.31,49.72,292.04,21.94,0.759,0.0298
"       (2010 JK33)",0.208,60200,0.6098,2.232,4.04,28.58,289.86,336.18,0.2955,0.0251
"       (2010 JV34)",0.226,60200,0.5439,1.723,7.21,225.32,87.04,297.12,0.4358,0.0386
"       (2010 JJ41)",,60200,0.6685,1.069,3.21,50.65,28.89,97.29,0.8921,0.022
"       (2010 JN71)",0.214,60200,0.5898,2.382,17.74,62.40,185.57,218.51,0.2681,0.0342
"       (2010 JE88)",,60200,0.7637,2.109,10.73,224.60,260.21,142.66,0.3217,0.000148
"       (2010 KQ10)",,60200,0.6629,2.384,6.70,243.91,287.75,245.68,0.2678,0.0222
"       (2010 KR10)",,60200,0.5863,2.169,1.05,94.46,233.04,41.64,0.3086,0.00196
"       (2010 KB61)",0.417,60200,0.2337,1.275,44.60,55.94,234.96,41.60,0.6845,0.049
"       (2010 KD149)",0.213,60200,0.2118,0.8889,14.23,324.43,131.04,94.50,1.176,0.0217
"       (2010 LK34)",0.108,60200,0.8075,1.829,5.32,130.10,249.27,105.53,0.3985,0.00857
"       (2010 LZ63)",0.877,60200,0.7612,1.89,13.87,307.02,79.52,11.93,0.3795,0.0172
"       (2010 MU112)",0.599,60200,0.5400,1.756,48.04,261.10,119.21,215.83,0.4235,0.000669
"       (2010 ON101)",0.238,60200,0.4090,1.629,9.31,251.57,8.14,128.07,0.4739,0.0455
"       (2010 PK9)",0.143,60200,0.6759,0.682,12.59,306.52,195.64,234.61,1.75,0.0158
"       (2010 RA147)",,60200,0.6540,2.16,5.82,8.24,116.75,356.93,0.3104,0.00993
"       (2010 RF181)",,60200,0.5453,2.21,6.22,51.07,2.45,324.95,0.3,0.0152
"       (2010 TP54)",,60200,0.5957,2.392,3.47,351.57,67.15,166.74,0.2664,0.0412
"       (2010 TP55)",,60200,0.6696,2.348,3.33,232.77,69.60,235.40,0.2739,0.00433
"       (2010 TS149)",,60200,0.3901,1.498,3.43,128.12,13.30,289.56,0.5375,0.0271
"       (2010 TU149)",0.603,60200,0.8245,2.21,1.97,58.92,92.60,324.21,0.2999,0.0104
"       (2010 TV149)",,60200,0.5188,1.699,9.79,78.58,42.91,258.22,0.4451,0.0449
"       (2010 TX168)",,60200,0.5233,1.483,26.02,32.92,101.55,6.54,0.5456,0.0223
"       (2010 UY6)",0.712,60200,0.6169,2.65,19.88,9.03,20.38,353.49,0.2284,0.0371
"       (2010 UG7)",,60200,0.7733,2.238,15.99,25.84,102.06,290.84,0.2945,0.0225
"       (2010 UQ7)",,60200,0.6786,2.453,4.51,236.83,76.60,141.07,0.2565,0.0181
"       (2010 US7)",,60200,0.6382,1.962,55.19,240.87,247.94,225.82,0.3586,0.0437
"       (2010 UK8)",,60200,0.6971,2.19,1.86,11.62,135.39,326.15,0.304,0.0193
"       (2010 VZ)",0.380,60200,0.5923,2.446,8.46,181.94,215.60,124.54,0.2576,0.0429
"       (2010 VG1)",,60200,0.5317,1.699,12.37,353.84,100.54,268.16,0.4452,0.0486
"       (2010 VT11)",0.152,60200,0.6112,1.754,2.48,249.38,65.76,212.37,0.4243,0.0121
"       (2010 VD72)",0.124,60200,0.1812,0.9184,19.20,224.08,310.24,100.18,1.12,0.0131
"       (2010 WV8)",,60200,0.6723,2.126,8.44,55.12,288.13,61.08,0.318,0.00674
"       (2010 WZ8)",,60200,0.5034,1.972,3.70,284.24,200.49,204.22,0.3558,0.00847
"       (2010 XC15)",,60200,0.4199,0.7324,8.24,94.40,158.10,277.57,1.573,0.00184
"       (2010 XB24)",,60200,0.4392,1.286,5.53,263.30,285.92,207.69,0.6755,0.0218
"       (2010 XC25)",,60200,0.5286,1.743,2.97,303.95,237.25,163.47,0.4283,0.00134
"       (2010 XA68)",,60200,0.3014,1.157,59.28,74.32,107.47,12.49,0.7916,0.0483
"       (2010 XP69)",0.273,60200,0.3428,1.523,14.59,199.85,197.32,298.09,0.5244,0.0143
"       (2010 YB)",,60200,0.4946,1.822,3.60,314.48,94.49,77.39,0.4007,0.0461
"       (2011 AM24)",0.511,60200,0.1500,1.179,9.13,127.20,214.88,88.60,0.7702,0.00968
"       (2011 AT26)",,60200,0.6973,2.373,1.75,243.25,125.04,188.30,0.2696,0.00781
"       (2011 BX10)",,60200,0.6453,2.813,9.77,79.08,348.64,242.88,0.2089,0.018
"       (2011 BY18)",,60200,0.7834,2.264,3.65,135.21,240.11,266.50,0.2893,0.0231
"       (2011 BE38)",,60200,0.7110,2.628,8.16,321.37,302.61,319.89,0.2313,0.0215
"       (2011 BM45)",,60200,0.8034,1.921,5.32,302.19,63.27,293.19,0.3701,0.00662
"       (2011 BO59)",,60200,0.4650,1.829,4.75,343.53,221.38,5.55,0.3984,0.0259
"       (2011 BT59)",,60200,0.9452,2.493,3.67,36.20,305.96,92.59,0.2505,0.0167
"       (2011 CG2)",,60200,0.1584,1.177,2.76,293.18,283.94,247.29,0.7716,0.0296
"       (2011 CT4)",,60200,0.7186,1.726,2.65,304.78,69.65,242.20,0.4347,0.0064
"       (2011 CC22)",,60200,0.1153,1.123,34.82,130.32,171.28,54.85,0.8287,0.0205
"       (2011 CY46)",,60200,0.6118,2.149,11.56,11.09,221.15,335.07,0.3129,0.0427
"       (2011 DV)",,60200,0.0499,0.9568,10.59,35.13,350.58,280.23,1.053,0.0035
"       (2011 DS9)",,60200,0.6427,2.621,3.70,93.35,146.25,326.61,0.2322,0.00372
"       (2011 EL11)",,60200,0.6903,1.996,3.91,313.75,82.19,201.28,0.3495,0.00647
"       (2011 EF17)",,60200,0.7430,2.343,4.22,3.87,282.39,136.28,0.2748,0.0109
"       (2011 EG17)",,60200,0.4188,1.38,20.11,170.11,241.55,327.41,0.6079,0.0438
"       (2011 EO40)",,60200,0.5403,1.654,3.36,50.25,17.15,355.30,0.4635,0.048
"       (2011 EL51)",,55636,0.5683,1.191,10.97,198.62,94.69,305.27,0.7586,0.0471
"       (2011 EO51)",,60200,0.7861,1.565,6.75,175.10,227.41,168.28,0.5033,0.0245
"       (2011 GA)",,60200,0.5911,1.803,9.83,200.37,109.81,5.37,0.407,0.00678
"       (2011 GM44)",,60200,0.5191,0.7817,49.33,10.83,37.53,97.81,1.426,0.0248
"       (2011 GS60)",,60200,0.9226,3.361,19.29,137.56,307.50,14.73,0.1599,0.0242
"       (2011 HS)",,60200,0.6921,2.815,7.87,182.35,334.52,238.37,0.2086,0.0492
"       (2011 HT)",,60200,0.4510,1.928,7.11,90.08,163.63,212.62,0.3682,0.049
"       (2011 JA)",,60200,0.2875,1.185,41.62,215.01,286.17,260.78,0.7639,0.000678
"       (2011 JD1)",,55688,0.3576,1.112,21.95,34.31,85.63,60.02,0.8409,0.00675
"       (2011 JR13)",,60200,0.7258,1.299,24.70,235.08,129.58,71.41,0.6657,0.0465
"       (2011 KE)",,60200,0.9547,2.207,5.89,205.01,188.55,258.97,0.3007,0.0418
"       (2011 KU15)",,55711,0.8761,1.955,4.40,214.49,166.85,337.84,0.3607,0.0477
"       (2011 LA19)",0.852,60200,0.6517,2.912,19.21,97.96,202.77,152.19,0.1983,0.0267
"       (2011 LC19)",,60200,0.7323,3.197,10.50,219.41,139.19,30.45,0.1724,0.0185
"       (2011 LJ19)",,60200,0.6208,2.622,1.54,296.44,30.47,302.11,0.2322,0.00529
"       (2011 MU)",,60200,0.6652,1.35,7.30,99.99,281.90,247.12,0.6281,0.0244
"       (2011 OA)",,60200,0.5190,2.16,9.14,280.86,28.18,295.99,0.3105,0.0492
"       (2011 OB)",,60200,0.5241,0.904,27.74,106.23,48.92,127.26,1.147,0.0104
"       (2011 OR15)",,60200,0.4431,1.656,5.01,146.09,251.09,214.58,0.4627,0.0391
"       (2011 OV18)",,60200,0.4391,1.631,16.93,271.30,148.97,238.75,0.4734,0.0244
"       (2011 PS)",,60200,0.5152,1.806,3.73,19.08,26.85,323.00,0.406,0.0267
"       (2011 RJ1)",,60200,0.5893,2.552,6.75,7.40,345.38,340.52,0.2417,0.0498
"       (2011 SO32)",,60200,0.4768,1.725,9.91,198.74,243.59,73.78,0.4352,0.048
"       (2011 SM68)",,60200,0.6640,1.396,19.24,24.03,109.21,45.16,0.5977,0.000655
"       (2011 TK)",,60200,0.6461,2.463,7.78,328.37,122.14,16.66,0.2549,0.0267
"       (2011 TC4)",,60200,0.7197,1.491,3.13,200.68,309.41,147.74,0.5414,0.0157
"       (2011 TX8)",,60200,0.7084,0.9095,5.98,207.85,313.35,192.58,1.136,0.0127
"       (2011 TN9)",,60200,0.4511,1.899,4.10,199.15,163.12,204.48,0.3766,0.0444
"       (2011 UG20)",,60200,0.6866,1.124,18.99,205.71,305.07,304.26,0.8268,0.00507
"       (2011 UH20)",,60200,0.3360,1.231,35.78,21.61,257.15,316.37,0.7217,0.0109
"       (2011 UT20)",,60200,0.4407,1.191,6.56,271.34,246.46,328.68,0.7587,0.0319
"       (2011 UV63)",,60200,0.1338,1.193,9.79,13.67,189.90,230.41,0.7567,0.0329
"       (2011 UE305)",,60200,0.6710,2.421,4.72,303.67,52.97,63.93,0.2617,0.0137
"       (2011 VU5)",,60200,0.5565,2.198,30.47,44.01,24.99,225.21,0.3024,0.0164
"       (2011 WA)",,60200,0.2856,0.8447,30.38,51.51,206.11,218.30,1.27,0.05
"       (2011 WN46)",,55894,0.4145,1.146,26.57,43.11,104.11,312.07,0.8036,0.0453
"       (2011 WR46)",,55896,0.8948,2.473,4.87,240.74,323.36,347.74,0.2535,0.0278
"       (2011 XA3)",,60200,0.9260,1.467,28.07,273.36,323.99,196.40,0.5548,0.034
"       (2011 YE6)",,60200,0.7290,2.813,3.06,182.05,348.29,163.48,0.2089,0.0435
"       (2011 YG6)",,60200,0.2989,1.164,28.06,92.82,267.37,177.76,0.7844,0.0246
"       (2011 YH28)",,60200,0.7160,2.617,8.69,284.40,288.43,252.61,0.2328,0.00608
"       (2011 YJ28)",,60200,0.0925,1.06,27.07,290.10,306.03,138.89,0.9034,0.0202
"       (2011 YV62)",,60200,0.5997,1.636,7.79,243.84,85.37,263.53,0.4708,0.00327
"       (2012 AD3)",,60200,0.6061,2.196,5.22,149.77,216.16,246.50,0.3028,0.0249
"       (2012 AA11)",,60200,0.4856,1.977,6.42,21.12,146.11,47.88,0.3546,0.0465
"       (2012 BS23)",,60200,0.5791,1.936,5.39,317.74,258.91,84.58,0.3659,0.0309
"       (2012 BT23)",,60200,0.6004,1.975,9.11,182.28,43.28,37.61,0.3551,0.0498
"       (2012 BU61)",,60200,0.7772,2.526,5.23,296.23,74.02,340.90,0.2455,0.0264
"       (2012 BJ86)",,60200,0.6373,1.981,1.34,301.90,99.97,77.73,0.3535,0.00315
"       (2012 BM86)",,60200,0.6359,2.148,11.37,163.93,56.59,226.37,0.3131,0.0195
"       (2012 BB124)",,60200,0.2111,1.155,15.79,137.64,122.77,23.43,0.7943,0.02
"       (2012 CA21)",,60200,0.6564,2.661,28.67,127.95,35.87,236.54,0.227,0.00211
"       (2012 CA55)",,60200,0.4796,1.801,8.64,175.90,41.51,255.44,0.4077,0.0128
"       (2012 DE31)",,60200,0.3729,1.15,29.69,141.64,262.18,196.79,0.7988,0.0433
"       (2012 DK31)",,60200,0.5766,0.6938,11.17,165.18,149.28,226.58,1.706,0.0257
"       (2012 FQ1)",,60200,0.6159,2.604,5.17,98.27,169.29,231.34,0.2345,0.00739
"       (2012 FR1)",,60200,0.7100,2.179,13.29,354.57,87.20,234.25,0.3065,0.0127
"       (2012 FG58)",,60200,0.5470,2.147,13.52,32.83,220.50,212.80,0.3133,0.038
"       (2012 FO62)",,60200,0.5159,2.015,3.98,258.42,212.84,33.48,0.3447,0.0187
"       (2012 GV17)",,60200,0.4590,1.641,11.04,6.76,311.84,87.41,0.4687,0.00554
"       (2012 HJ1)",,60200,0.6065,2.003,31.30,44.63,291.26,321.18,0.3478,0.034
"       (2012 HG8)",,60200,0.7276,2.46,25.59,214.52,256.79,2.50,0.2555,0.000844
"       (2012 HG31)",,60200,0.5323,2.173,10.24,148.28,173.12,163.17,0.3078,0.00661
"       (2012 HZ33)",,60200,0.2103,1.197,23.88,54.90,231.59,190.37,0.7522,0.000131
"       (2012 JS11)",,60200,0.6740,2.822,9.54,208.01,124.16,112.70,0.2079,0.0478
"       (2012 KA4)",,60200,0.7799,1.1,5.80,214.89,237.50,332.46,0.8541,0.026
"       (2012 KU12)",,60200,0.4886,1.638,8.63,53.07,74.38,195.67,0.4701,0.0401
"       (2012 LR1)",,60200,0.3814,1.337,42.32,83.09,66.58,166.21,0.6379,0.00598
"       (2012 LZ1)",1.252,60200,0.5898,2.558,26.09,264.50,14.30,267.35,0.241,0.044
"       (2012 LK11)",,60200,0.5933,2.427,5.15,152.18,159.99,340.26,0.2606,0.000494
"       (2012 MS4)",,60200,0.7207,2.264,67.68,265.85,257.56,127.27,0.2893,0.0361
"       (2012 MJ6)",,60200,0.4898,1.823,9.23,82.19,127.36,224.10,0.4003,0.0259
"       (2012 MZ6)",,56106,0.7120,2.141,1.36,317.20,225.05,19.56,0.3146,0.0147
"       (2012 NN)",,60200,0.6273,2.575,4.63,237.52,6.31,260.77,0.2385,0.0288
"       (2012 OO)",,60200,0.3836,1.697,4.84,160.89,179.92,359.37,0.4459,0.037
"       (2012 OQ)",,60200,0.3950,1.191,7.10,294.01,100.74,157.56,0.7586,0.0159
"       (2012 OP4)",,60200,0.6584,2.118,20.65,143.58,262.82,197.51,0.3197,0.049
"       (2012 PS4)",,60200,0.5934,1.767,3.94,86.18,144.24,284.73,0.4195,0.0462
"       (2012 PP28)",,60200,0.6067,1.989,5.67,254.06,133.67,319.81,0.3512,0.0269
"       (2012 QC8)",,60200,0.7585,2.821,5.68,22.19,47.70,112.59,0.208,0.0455
"       (2012 QQ10)",,60200,0.4681,1.936,3.96,65.54,227.99,56.46,0.366,0.0454
"       (2012 QG42)",,60200,0.3744,1.026,6.81,344.78,116.18,143.08,0.9487,0.0139
"       (2012 QE50)",,60200,0.4410,1.733,11.90,193.92,224.89,269.88,0.432,0.0451
"       (2012 RG15)",,60200,0.4536,1.077,48.94,336.62,247.23,8.93,0.8818,0.0229
"       (2012 SD22)",,60200,0.5727,1.964,7.91,140.24,313.82,322.25,0.3581,0.0179
"       (2012 TY52)",,60200,0.5529,1.664,9.63,221.58,252.87,353.11,0.4593,0.000342
"       (2012 TF53)",,60200,0.3688,1.426,6.13,201.05,282.42,85.29,0.5787,0.0458
"       (2012 TO139)",,60200,0.8885,2.439,5.36,179.20,56.31,332.60,0.2588,0.000544
"       (2012 TP139)",,60200,0.4646,1.468,2.34,271.77,3.38,105.80,0.5544,0.0381
"       (2012 TJ146)",,60200,0.6442,2.681,5.17,41.46,54.87,146.17,0.2245,0.0424
"       (2012 UZ33)",,60200,0.5806,2.228,3.36,85.89,224.79,130.70,0.2964,0.00605
"       (2012 UU136)",,60200,0.2119,1.16,35.59,36.08,227.71,357.77,0.7887,0.0365
"       (2012 UR138)",,60200,0.5425,1.969,7.77,255.88,49.09,10.14,0.3568,0.00382
"       (2012 UR158)",0.629,60200,0.8576,2.232,3.19,286.46,239.43,73.75,0.2955,0.00132
"       (2012 VK6)",,56242,0.7054,2.303,1.84,291.02,339.31,20.21,0.282,0.0271
"       (2012 VL6)",,60200,0.5661,2.343,8.73,19.47,19.27,5.59,0.2749,0.034
"       (2012 VO6)",,60200,0.5355,1.966,3.57,242.48,243.76,302.70,0.3576,0.0262
"       (2012 VF37)",,60200,0.6516,2.463,4.90,82.42,58.79,271.61,0.2551,0.0158
"       (2012 VE46)",,60200,0.3613,0.7132,6.67,8.74,190.49,207.00,1.637,0.0324
"       (2012 VC82)",,60200,0.5814,2.38,10.82,355.34,29.27,342.22,0.2685,0.0309
"       (2012 XY6)",,60200,0.4905,2.009,7.78,348.36,173.30,245.64,0.346,0.0313
"       (2012 XO111)",,60200,0.4984,2.005,4.28,328.08,189.83,252.56,0.3471,0.0175
"       (2012 XA133)",,60200,0.6976,1.328,4.06,225.55,78.01,63.07,0.644,0.0173
"       (2012 XJ134)",,60200,0.7378,2.567,2.47,237.04,124.48,232.74,0.2396,0.0143
"       (2012 YO1)",,60200,0.4900,1.825,17.47,85.81,312.72,141.19,0.3999,0.0415
"       (2012 YQ1)",,60200,0.5629,1.998,5.15,120.04,42.23,270.66,0.3489,0.00662
"       (2012 YO3)",,60200,0.6726,2.44,3.60,30.96,351.44,305.52,0.2586,0.0467
"       (2012 YY6)",,60200,0.6812,1.525,4.03,22.62,317.79,275.91,0.5233,0.037
"       (2013 AN20)",,60200,0.3047,1.465,23.07,105.34,355.82,9.92,0.5561,0.0343
"       (2013 AS27)",,60200,0.2285,1.105,33.59,105.22,253.44,153.04,0.8488,0.032
"       (2013 AX52)",,60200,0.1221,1.198,32.60,289.11,356.64,231.66,0.7515,0.0351
"       (2013 AN60)",,60200,0.5824,1.893,6.95,248.52,125.70,60.98,0.3783,0.0163
"       (2013 BC18)",,60200,0.7697,2.755,24.80,286.14,262.34,105.71,0.2156,0.0174
"       (2013 BD18)",,60200,0.6638,2.319,17.27,285.05,251.75,349.42,0.2791,0.0445
"       (2013 BO76)",,60200,0.5199,1.701,1.95,242.17,4.96,219.13,0.4442,0.0286
"       (2013 ED28)",,60200,0.6667,1.55,4.89,152.94,258.53,189.41,0.5107,0.000233
"       (2013 ER89)",,60200,0.5357,1.695,26.98,0.95,283.64,230.85,0.4467,0.0478
"       (2013 EV108)",,60200,0.6341,2.397,8.42,33.34,215.22,281.22,0.2656,0.0287
"       (2013 EO126)",,60200,0.7818,2.297,2.98,153.46,148.52,343.12,0.2831,0.0402
"       (2013 FX7)",,60200,0.3097,1.266,5.22,211.53,28.87,96.23,0.6923,0.0465
"       (2013 FA8)",,60200,0.6738,1.929,3.12,165.47,280.98,350.49,0.3679,0.00566
"       (2013 FW13)",,60200,0.3618,1.12,23.41,175.81,272.31,358.85,0.8312,0.0126
"       (2013 GF)",,60200,0.4525,1.886,10.88,18.24,204.32,358.02,0.3807,0.0486
"       (2013 GY7)",,60200,0.2306,1.247,29.58,189.90,128.63,69.85,0.708,0.0294
"       (2013 GR38)",,60200,0.5563,1.79,4.59,218.64,68.41,98.33,0.4115,0.00319
"       (2013 GS66)",,60200,0.5842,2.01,2.44,204.27,273.41,255.61,0.3458,0.0217
"       (2013 GG69)",,60200,0.6697,2.684,9.26,183.16,144.74,90.35,0.2242,0.0224
"       (2013 GZ73)",,60200,0.6172,2.372,7.34,116.77,340.16,346.67,0.2698,0.0341
"       (2013 GA80)",,60200,0.1534,1.174,32.19,29.11,133.15,100.16,0.775,0.0312
"       (2013 GH84)",,60200,0.3713,1.565,14.90,53.35,186.43,105.17,0.5036,0.0259
"       (2013 JM7)",,60200,0.2740,1.211,4.96,242.47,154.83,110.31,0.7394,0.0451
"       (2013 JN7)",,60200,0.6399,1.719,2.25,297.50,167.52,255.61,0.4372,0.0383
"       (2013 JM14)",,60200,0.5096,1.895,8.09,109.36,44.65,12.91,0.378,0.022
"       (2013 JL22)",,60200,0.5942,1.187,3.06,37.96,69.07,44.73,0.762,0.00261
"       (2013 JR28)",,60200,0.6549,2.201,6.55,103.54,230.58,33.55,0.3018,0.0353
"       (2013 KZ1)",,60200,0.5067,1.563,29.20,236.01,104.74,59.12,0.5046,0.0293
"       (2013 LE16)",,60200,0.6074,2.564,32.83,81.77,198.15,169.66,0.2401,0.00942
"       (2013 LG16)",,60200,0.4081,1.6,11.15,232.78,209.56,191.88,0.4869,0.00439
"       (2013 LM31)",,60200,0.6550,2.266,1.75,103.16,251.18,337.71,0.289,0.00313
"       (2013 LN31)",,60200,0.8022,2.256,23.21,100.77,278.80,350.59,0.2909,0.0406
"       (2013 NV)",,60200,0.5111,0.9585,29.28,275.59,227.82,21.98,1.05,0.0387
"       (2013 NJ10)",,60200,0.4572,1.613,7.04,90.71,25.17,150.94,0.4811,0.0462
"       (2013 NF19)",,60200,0.6953,1.67,27.32,283.25,263.09,282.48,0.4565,0.0396
"       (2013 ND24)",,60200,0.7429,2.048,3.64,295.14,97.18,149.04,0.3363,0.000406
"       (2013 OD4)",,60200,0.7764,1.885,12.21,127.37,299.35,303.32,0.3807,0.0354
"       (2013 PV13)",,60200,0.6452,2.748,11.89,151.14,221.50,66.94,0.2164,0.0443
"       (2013 QR1)",,60200,0.7369,1.95,45.63,151.52,279.36,231.25,0.362,0.00101
"       (2013 QU1)",,60200,0.2496,1.184,35.24,149.14,55.24,24.10,0.765,0.0169
"       (2013 QC11)",,60200,0.6189,1.511,2.15,250.47,332.71,182.54,0.5305,0.0312
"       (2013 RC32)",,60200,0.6305,2.481,3.00,46.65,2.58,192.38,0.2522,0.0301
"       (2013 RZ73)",,60200,0.5338,1.369,25.13,355.56,262.32,127.16,0.6156,0.0285
"       (2013 RH74)",,60200,0.5942,2.284,5.48,200.43,227.76,302.21,0.2856,0.0191
"       (2013 RJ74)",,60200,0.7206,2.818,22.50,348.15,124.46,15.94,0.2083,0.0216
"       (2013 SW24)",,60200,0.6515,2.672,6.14,347.15,323.88,109.48,0.2256,0.000214
"       (2013 TR132)",,60200,0.3614,1.45,31.96,35.39,330.10,258.80,0.5643,0.0324
"       (2013 TE135)",,60200,0.7580,2.364,6.05,182.24,103.13,279.50,0.2712,0.0229
"       (2013 TT135)",,60200,0.6013,2.145,6.49,341.42,327.29,73.71,0.3138,0.0369
"       (2013 TV135)",,60200,0.5943,2.426,6.74,333.36,23.84,230.11,0.2608,0.004
"       (2013 US3)",,60200,0.1852,1.202,12.32,39.54,134.19,58.12,0.748,0.0176
"       (2013 VO5)",,60200,0.6906,1.28,2.02,74.00,211.07,324.86,0.681,0.0179
"       (2013 VY13)",,60200,0.5145,1.731,5.52,261.19,87.18,135.23,0.4327,0.0426
"       (2013 WR43)",,60200,0.3670,1.413,5.90,280.17,42.21,356.03,0.5867,0.0238
"       (2013 WT44)",0.653,60200,0.5656,2.264,12.21,182.68,325.84,291.92,0.2893,0.0382
"       (2013 WT45)",0.185,60200,0.4672,1.63,9.34,33.02,122.10,215.09,0.4737,0.00663
"       (2013 WR67)",,60200,0.7162,2.553,4.94,263.40,75.05,155.50,0.2416,0.00482
"       (2013 WF108)",,60200,0.5744,1.993,23.45,238.97,309.04,123.59,0.3503,0.025
