"full_name","diameter","epoch_mjd","e","a","i","om","w","ma","n","moid"
" 85182 (1991 AQ)",1.1,60200,0.7777,2.221,3.12,339.42,243.20,300.11,0.2979,0.016
" 85236 (1993 KH)",,60200,0.3111,1.234,12.81,54.36,293.84,324.92,0.7192,0.000335
" 85585 Mjolnir (1998 FG2)",,60200,0.3562,1.298,4.08,2.31,95.42,130.79,0.6668,0.0211
" 85640 (1998 OX4)",,60200,0.4858,1.58,4.51,299.58,117.28,176.84,0.4961,0.000519
" 85713 (1998 SS49)",3.484,60200,0.6386,1.924,10.78,40.96,103.14,91.75,0.3694,0.00468
" 85774 (1998 UT18)",0.939,60200,0.3289,1.403,13.59,64.62,50.14,301.40,0.593,0.0354
" 85938 (1999 DJ4)",,60200,0.4844,1.853,9.14,19.88,197.76,245.62,0.3908,0.025
" 85989 (1999 JD6)",1.462,60200,0.6328,0.8831,17.06,130.16,309.24,223.35,1.188,0.0479
" 85990 (1999 JV6)",0.451,60200,0.3112,1.008,5.36,124.31,235.57,282.83,0.9734,0.0312
" 86039 (1999 NC43)",2.22,60200,0.5788,1.76,7.13,311.65,120.77,48.53,0.4222,0.0251
" 86819 (2000 GK137)",0.802,60200,0.5058,1.996,10.06,164.88,150.32,72.56,0.3496,0.0168
" 87684 (2000 SY2)",,60200,0.6429,0.8586,19.22,162.02,47.79,47.50,1.239,0.0465
" 88254 (2001 FM129)",0.800,60200,0.6296,1.182,1.52,272.12,140.21,219.93,0.7666,0.0101
" 89136 (2001 US16)",,60200,0.2528,1.356,1.91,175.91,67.14,82.94,0.6243,0.0283
" 89830 (2002 CE)",5.067,60200,0.5072,2.078,43.66,19.90,5.82,121.68,0.3291,0.0278
" 89958 (2002 LY45)",,60200,0.8865,1.642,9.91,188.17,222.91,358.71,0.4686,0.000261
" 89959 (2002 NT7)",1.407,60200,0.5284,1.735,42.35,132.02,300.68,34.19,0.4312,0.00142
" 90075 (2002 VU94)",2.233,60200,0.5758,2.134,8.91,226.74,30.66,2.14,0.3161,0.0307
" 90403 (2003 YE45)",0.572,60200,0.2801,1.234,19.01,286.24,306.80,53.68,0.7186,0.0368
" 90416 (2003 YK118)",0.968,60200,0.4923,1.695,7.83,326.77,233.29,298.42,0.4467,0.00106
" 99248 (2001 KY66)",1.115,60200,0.5075,1.867,10.61,284.12,61.56,205.20,0.3865,0.0472
